epoch,batch_idx,data_type,loss,run_time
175,0,val,40.152466,0.33
175,1,val,42.035187,0.36
176,0,train,29.830856,0.18
176,0,val,40.572407,0.43
176,1,val,43.107872,0.44
177,0,train,40.957508,0.18
177,0,val,38.821079,0.43
177,1,val,44.766762,0.46
178,0,train,39.033539,0.24
178,0,val,39.301334,0.48
178,1,val,42.059414,0.50
179,0,train,35.817902,0.16
179,0,val,39.248142,0.35
179,1,val,42.936195,0.37
180,0,train,33.712433,0.15
180,0,val,39.384792,0.32
180,1,val,42.954163,0.34
181,0,train,25.820770,0.11
181,0,val,41.252964,0.30
181,1,val,41.782360,0.31
182,0,train,24.814938,0.12
182,0,val,42.722481,0.26
182,1,val,42.950344,0.26
183,0,train,35.823704,0.14
183,0,val,48.581596,0.28
183,1,val,42.373405,0.29
184,0,train,34.499271,0.12
184,0,val,39.399937,0.27
184,1,val,42.129513,0.28
185,0,train,61.059994,0.13
185,0,val,40.284588,0.30
185,1,val,44.050259,0.31
186,0,train,27.374884,0.13
186,0,val,39.375523,0.27
186,1,val,47.848976,0.27
187,0,train,23.793919,0.12
187,0,val,39.378246,0.25
187,1,val,44.350624,0.25
188,0,train,39.105297,0.12
188,0,val,40.320263,0.24
188,1,val,43.075825,0.25
189,0,train,25.056280,0.12
189,0,val,39.843777,0.24
189,1,val,42.541985,0.25
190,0,train,32.630295,0.14
190,0,val,39.090649,0.30
190,1,val,42.990067,0.32
191,0,train,36.049843,0.15
191,0,val,44.715508,0.30
191,1,val,43.909409,0.31
192,0,train,38.772881,0.16
192,0,val,51.913391,0.30
192,1,val,42.693966,0.31
193,0,train,36.943466,0.16
193,0,val,39.830067,0.29
193,1,val,42.104206,0.30
194,0,train,23.712677,0.13
194,0,val,39.862602,0.26
194,1,val,53.496449,0.27
195,0,train,34.308945,0.13
195,0,val,40.959454,0.26
195,1,val,44.343086,0.27
196,0,train,30.271467,0.13
196,0,val,40.261326,0.26
196,1,val,44.107136,0.26
197,0,train,26.280460,0.12
197,0,val,40.338181,0.26
197,1,val,41.712334,0.26
198,0,train,33.268085,0.12
198,0,val,41.189896,0.24
198,1,val,44.931736,0.25
199,0,train,34.884060,0.36
199,0,val,39.655865,0.49
199,1,val,44.685646,0.49
200,0,train,47.970291,0.17
200,0,val,45.020538,0.33
200,1,val,43.517956,0.34
201,0,train,40.677193,0.13
201,0,val,44.550064,0.25
201,1,val,42.169384,0.26
202,0,train,39.683159,0.12
202,0,val,39.923744,0.25
202,1,val,41.973850,0.25
203,0,train,29.181561,0.13
203,0,val,42.911125,0.30
203,1,val,41.749737,0.32
204,0,train,41.528454,0.16
204,0,val,40.694328,0.34
204,1,val,42.125511,0.36
205,0,train,32.268654,0.17
205,0,val,42.599998,0.38
205,1,val,43.624985,0.39
206,0,train,26.076542,0.14
206,0,val,42.297588,0.35
206,1,val,41.575947,0.37
207,0,train,25.665535,0.15
207,0,val,39.248138,0.34
207,1,val,41.499603,0.36
208,0,train,29.918301,0.21
208,0,val,44.157284,0.46
208,1,val,43.000095,0.50
209,0,train,30.696606,0.23
209,0,val,38.728748,0.48
209,1,val,48.459988,0.51
210,0,train,40.487865,0.17
210,0,val,42.428787,0.38
210,1,val,41.538532,0.40
211,0,train,22.200806,0.15
211,0,val,43.753887,0.33
211,1,val,42.595402,0.37
212,0,train,29.769886,0.15
212,0,val,40.382240,0.36
212,1,val,42.324265,0.39
213,0,train,30.088179,0.20
213,0,val,47.911064,0.41
213,1,val,41.784706,0.44
214,0,train,30.671009,0.13
214,0,val,42.894859,0.29
214,1,val,42.451725,0.31
215,0,train,24.927147,0.13
215,0,val,38.815468,0.31
215,1,val,42.721630,0.33
216,0,train,30.300671,0.12
216,0,val,40.301437,0.25
216,1,val,41.676785,0.26
217,0,train,26.204805,0.12
217,0,val,42.444725,0.26
217,1,val,43.591988,0.26
218,0,train,30.327787,0.12
218,0,val,42.972073,0.27
218,1,val,42.058578,0.27
219,0,train,35.526787,0.12
219,0,val,43.272694,0.25
219,1,val,41.839260,0.25
220,0,train,24.621664,0.13
220,0,val,41.340519,0.32
220,1,val,43.613392,0.33
221,0,train,28.254616,0.15
221,0,val,39.389797,0.29
221,1,val,47.502441,0.30
222,0,train,32.473297,0.13
222,0,val,42.815964,0.27
222,1,val,45.678421,0.27
223,0,train,33.010700,0.13
223,0,val,39.911224,0.27
223,1,val,43.029953,0.28
224,0,train,29.248878,0.12
224,0,val,39.326920,0.28
224,1,val,41.962524,0.29
225,0,train,31.817520,0.14
225,0,val,41.953819,0.28
225,1,val,46.240269,0.29
226,0,train,23.153063,0.12
226,0,val,39.702271,0.27
226,1,val,42.356094,0.28
227,0,train,30.242901,0.16
227,0,val,38.857273,0.31
227,1,val,47.185707,0.32
228,0,train,19.174706,0.14
228,0,val,40.665428,0.29
228,1,val,44.367519,0.30
229,0,train,28.028862,0.14
229,0,val,39.448792,0.30
229,1,val,42.794327,0.31
230,0,train,34.030491,0.20
230,0,val,50.542580,0.34
230,1,val,42.004501,0.34
231,0,train,30.497219,0.12
231,0,val,44.545876,0.25
231,1,val,41.942314,0.26
232,0,train,35.382984,0.12
232,0,val,39.916512,0.26
232,1,val,43.833443,0.27
233,0,train,39.715225,0.13
233,0,val,38.739040,0.27
233,1,val,44.580219,0.27
234,0,train,26.510431,0.12
234,0,val,40.265606,0.27
234,1,val,46.485542,0.28
235,0,train,36.520855,0.12
235,0,val,40.077732,0.26
235,1,val,44.011345,0.27
236,0,train,31.457361,0.14
236,0,val,39.278130,0.38
236,1,val,42.868393,0.41
237,0,train,35.861080,0.20
237,0,val,39.827888,0.39
237,1,val,43.176647,0.41
238,0,train,26.016287,0.15
238,0,val,39.994766,0.34
238,1,val,56.260151,0.36
239,0,train,27.940237,0.15
239,0,val,38.563236,0.33
239,1,val,44.642803,0.35
240,0,train,22.426746,0.21
240,0,val,40.690556,0.39
240,1,val,42.680855,0.40
241,0,train,23.941193,0.18
241,0,val,38.601398,0.41
241,1,val,43.520397,0.43
242,0,train,26.281868,0.16
242,0,val,39.608227,0.39
242,1,val,41.434856,0.40
243,0,train,34.834492,0.16
243,0,val,42.950848,0.36
243,1,val,42.776348,0.37
244,0,train,27.688112,0.15
244,0,val,39.369610,0.34
244,1,val,43.423271,0.36
245,0,train,33.215740,0.16
245,0,val,41.041271,0.34
245,1,val,41.945759,0.35
246,0,train,23.478968,0.16
246,0,val,41.900139,0.35
246,1,val,42.162609,0.36
247,0,train,29.671719,0.18
247,0,val,38.769531,0.39
247,1,val,43.527386,0.41
248,0,train,48.671787,0.16
248,0,val,40.084339,0.34
248,1,val,42.327526,0.35
249,0,train,33.045174,0.11
249,0,val,40.072117,0.24
249,1,val,42.613403,0.24
250,0,train,22.803583,0.15
250,0,val,38.539394,0.27
250,1,val,45.924850,0.28
251,0,train,29.699814,0.17
251,0,val,38.851460,0.31
251,1,val,41.905411,0.31
252,0,train,25.980919,0.15
252,0,val,40.588448,0.31
252,1,val,42.205547,0.32
253,0,train,28.719597,0.13
253,0,val,39.374546,0.29
253,1,val,44.910252,0.30
254,0,train,41.991016,0.12
254,0,val,39.221409,0.26
254,1,val,44.521736,0.26
255,0,train,20.878567,0.15
255,0,val,39.241890,0.28
255,1,val,41.937824,0.28
256,0,train,28.588280,0.12
256,0,val,38.866188,0.25
256,1,val,46.421333,0.26
257,0,train,26.001163,0.12
257,0,val,38.375500,0.24
257,1,val,42.760548,0.25
258,0,train,26.283060,0.13
258,0,val,39.927902,0.31
258,1,val,42.419598,0.31
259,0,train,23.703976,0.12
259,0,val,39.781315,0.29
259,1,val,42.561211,0.31
260,0,train,28.537659,0.16
260,0,val,39.196247,0.34
260,1,val,43.421383,0.36
261,0,train,36.350346,0.12
261,0,val,40.746609,0.25
261,1,val,41.822948,0.26
262,0,train,24.428005,0.12
262,0,val,39.561607,0.25
262,1,val,42.377266,0.26
263,0,train,18.757996,0.12
263,0,val,38.813709,0.25
263,1,val,41.957191,0.25
264,0,train,39.441193,0.13
264,0,val,39.340614,0.30
264,1,val,41.630672,0.30
265,0,train,26.966284,0.12
265,0,val,38.746674,0.25
265,1,val,43.167850,0.25
266,0,train,38.135811,0.14
266,0,val,41.512146,0.29
266,1,val,42.102856,0.30
267,0,train,41.954800,0.16
267,0,val,38.268974,0.31
267,1,val,44.960865,0.32
268,0,train,34.478329,0.21
268,0,val,39.311985,0.38
268,1,val,41.572395,0.39
269,0,train,27.070263,0.12
269,0,val,38.623596,0.26
269,1,val,43.040306,0.26
270,0,train,22.535694,0.15
