epoch,batch_idx,data_type,loss,run_time
94,3,val,38.867435,0.44
95,0,train,62.834457,0.16
95,1,train,61.956245,0.21
95,0,val,78.879051,0.36
95,1,val,63.149952,0.38
95,2,val,55.194664,0.40
95,3,val,31.633657,0.40
96,0,train,67.384148,0.17
96,1,train,71.188499,0.22
96,0,val,77.465988,0.44
96,1,val,64.764854,0.45
96,2,val,58.622757,0.46
96,3,val,31.605709,0.47
97,0,train,64.185501,0.15
97,1,train,50.089108,0.19
97,0,val,84.002846,0.32
97,1,val,62.451366,0.32
97,2,val,56.248344,0.33
97,3,val,36.165501,0.33
98,0,train,62.176552,0.15
98,1,train,41.996403,0.19
98,0,val,75.502052,0.31
98,1,val,62.785576,0.31
98,2,val,54.839397,0.32
98,3,val,31.332750,0.32
99,0,train,83.368271,0.14
99,1,train,71.586258,0.42
99,0,val,76.817772,0.69
99,1,val,67.083313,0.71
99,2,val,54.952332,0.72
99,3,val,32.636635,0.75
100,0,train,66.950401,0.13
100,1,train,71.802834,0.17
100,0,val,77.034897,0.28
100,1,val,61.927841,0.29
100,2,val,56.138908,0.29
100,3,val,31.044668,0.30
101,0,train,49.462418,0.31
101,1,train,42.428001,0.38
101,0,val,75.833740,0.49
101,1,val,66.661018,0.49
101,2,val,54.924664,0.50
101,3,val,32.255199,0.50
102,0,train,78.650955,0.12
102,1,train,80.330696,0.16
102,0,val,76.758537,0.28
102,1,val,62.300034,0.29
102,2,val,57.097729,0.29
102,3,val,32.080502,0.30
103,0,train,65.125931,0.37
103,1,train,50.563343,0.40
103,0,val,77.249115,0.51
103,1,val,62.027397,0.51
103,2,val,58.361866,0.52
103,3,val,31.905804,0.52
104,0,train,43.765854,0.12
104,1,train,77.468353,0.16
104,0,val,75.133659,0.32
104,1,val,65.184593,0.33
104,2,val,56.997265,0.34
104,3,val,31.750860,0.34
105,0,train,86.995735,0.12
105,1,train,57.118900,0.16
105,0,val,76.251862,0.27
105,1,val,61.575100,0.28
105,2,val,56.132580,0.28
105,3,val,42.209454,0.29
106,0,train,66.839462,0.12
106,1,train,75.772423,0.15
106,0,val,75.717751,0.29
106,1,val,62.521229,0.29
106,2,val,55.135380,0.31
106,3,val,35.760925,0.32
107,0,train,54.570816,0.13
107,1,train,54.025829,0.17
107,0,val,75.396873,0.31
107,1,val,62.506157,0.31
107,2,val,57.250252,0.32
107,3,val,31.650635,0.33
108,0,train,67.370102,0.12
